,MEASUREMENT_TIME,VALUE,Time_Used
0,2023-01-19 12:06:06.562,s0,0.0
1,2023-01-19 12:06:06.562,VsDebugConsole.exe,7.042
2,2023-01-19 12:06:13.604,devenv.exe,1.013
3,2023-01-19 12:06:14.617,VsDebugConsole.exe,2.012
4,2023-01-19 12:06:16.629,chrome.exe,1.005
5,2023-01-19 12:06:17.634,VsDebugConsole.exe,1.006
6,2023-01-19 12:06:18.640,Messenger.exe,3.019
7,2023-01-19 12:06:21.659,VsDebugConsole.exe,1.007
8,2023-01-19 12:06:22.666,explorer.exe,1.005
9,2023-01-19 12:06:23.671,VsDebugConsole.exe,2.012
10,2023-01-19 12:06:25.683,Teams.exe,8.059
11,2023-01-19 12:06:33.742,VsDebugConsole.exe,2.023
12,2023-01-19 12:06:35.765,chrome.exe,37.291
13,2023-01-19 12:07:13.056,SearchHost.exe,6.175
14,2023-01-19 12:07:19.231,Unable To Open Process,5.037
15,2023-01-19 12:07:24.268,chrome.exe,1.01
16,2023-01-19 12:07:25.278,Unable To Open Process,16.1
17,2023-01-19 12:07:41.378,chrome.exe,67.482
18,2023-01-19 12:08:48.860,VsDebugConsole.exe,0.0
19,2023-01-19 12:17:38.090,s0,0.0
20,2023-01-19 12:17:38.090,VsDebugConsole.exe,3.019
21,2023-01-19 12:17:41.109,devenv.exe,2.006
22,2023-01-19 12:17:43.115,VsDebugConsole.exe,1.007
23,2023-01-19 12:17:44.122,Unable To Open Process,2.016
24,2023-01-19 12:17:46.138,VsDebugConsole.exe,3.015
25,2023-01-19 12:17:49.153,SearchHost.exe,2.013
26,2023-01-19 12:17:51.166,explorer.exe,2.118
27,2023-01-19 12:17:53.284,Unable To Open Process,5.028
28,2023-01-19 12:17:58.312,explorer.exe,5.035
29,2023-01-19 12:18:03.347,chrome.exe,18.124
30,2023-01-19 12:18:21.471,python-3.11.1-amd64.exe,7.052
31,2023-01-19 12:18:28.523,Unable To Open Process,42.212
32,2023-01-19 12:19:10.735,chrome.exe,50.339
33,2023-01-19 12:20:01.074,Unable To Open Process,20.148
34,2023-01-19 12:20:21.222,chrome.exe,11.09
35,2023-01-19 12:20:32.312,Unable To Open Process,25.183
36,2023-01-19 12:20:57.495,chrome.exe,56.497
37,2023-01-19 12:21:53.992,Unable To Open Process,3.027
38,2023-01-19 12:21:57.019,chrome.exe,2.014
39,2023-01-19 12:21:59.033,Unable To Open Process,6.056
40,2023-01-19 12:22:05.089,chrome.exe,11.086
