,MEASUREMENT_TIME,ID_INPUT,VALUE,PRIVATE_DATA
0,2023-01-15 10:20:31.595,4,s0,0
1,2023-01-15 10:20:31.595,11,0,0
2,2023-01-15 10:20:31.595,10,0,0
3,2023-01-15 10:20:31.595,8,154,0
4,2023-01-15 10:20:31.595,7,1049,0
5,2023-01-15 10:20:31.595,6,154,0
6,2023-01-15 10:20:31.595,2,8560,0
7,2023-01-15 10:20:31.595,1,19112,0
8,2023-01-15 10:20:31.595,0,67234,0
9,2023-01-15 10:20:31.595,9,672,0
10,2023-01-15 10:20:31.595,3,esrv.exe,0
11,2023-01-15 10:20:31.595,4,VsDebugConsole.exe,0
12,2023-01-15 10:20:31.595,5,ConsoleWindowClass,0
13,2023-01-15 10:20:33.617,2,18716,0
14,2023-01-15 10:20:33.617,10,0,0
15,2023-01-15 10:20:33.617,9,960,0
16,2023-01-15 10:20:33.617,8,258,0
17,2023-01-15 10:20:33.617,7,1769,0
18,2023-01-15 10:20:33.617,6,630,0
19,2023-01-15 10:20:33.617,1,1356,0
20,2023-01-15 10:20:33.617,0,197762,0
21,2023-01-15 10:20:33.617,5,CabinetWClass,0
22,2023-01-15 10:20:33.617,3,Downloads,0
23,2023-01-15 10:20:33.618,4,explorer.exe,0
24,2023-01-15 10:20:33.618,11,1,0
25,2023-01-15 10:20:36.649,3,esrv.exe,0
26,2023-01-15 10:20:36.649,0,67234,0
27,2023-01-15 10:20:36.649,5,ConsoleWindowClass,0
28,2023-01-15 10:20:36.649,4,VsDebugConsole.exe,0
29,2023-01-15 10:20:36.649,11,0,0
30,2023-01-15 10:20:36.649,2,8560,0
31,2023-01-15 10:20:36.649,9,672,0
32,2023-01-15 10:20:36.649,6,154,0
33,2023-01-15 10:20:36.649,8,154,0
34,2023-01-15 10:20:36.649,1,19112,0
35,2023-01-15 10:20:36.649,7,1049,0
36,2023-01-15 10:20:36.649,10,0,0
37,2023-01-15 10:20:39.670,1,8232,0
38,2023-01-15 10:20:39.670,2,11448,0
39,2023-01-15 10:20:39.670,6,-7,0
40,2023-01-15 10:20:39.670,7,2055,0
41,2023-01-15 10:20:39.670,8,-7,0
42,2023-01-15 10:20:39.670,0,394824,0
43,2023-01-15 10:20:39.670,3,DSC180A_HW_Week4 - Microsoft Visual Studio,0
44,2023-01-15 10:20:39.670,11,0,0
45,2023-01-15 10:20:39.670,5,HwndWrapper,0
46,2023-01-15 10:20:39.670,4,devenv.exe,0
47,2023-01-15 10:20:39.670,9,1119,0
48,2023-01-15 10:20:39.670,10,0,0
49,2023-01-15 10:20:40.685,0,1770386,0
50,2023-01-15 10:20:40.685,2,21048,0
51,2023-01-15 10:20:40.685,6,122,0
52,2023-01-15 10:20:40.685,7,1467,0
53,2023-01-15 10:20:40.685,8,106,0
54,2023-01-15 10:20:40.685,9,1110,0
