,Acrobat.exe,ApplicationFrameHost.exe,CredentialUIBroker.exe,DB Browser for SQLite.exe,Docker Desktop.exe,LockApp.exe,Messenger.exe,MoNotificationUx.exe,OneDrive.exe,PickerHost.exe,ScreenClippingHost.exe,SearchHost.exe,ShellExperienceHost.exe,Spotify.exe,Teams.exe,Unable To Open Process,VsDebugConsole.exe,Widgets.exe,Zoom.exe,chrome.exe,cmd.exe,conhost.exe,devenv.exe,explorer.exe,msedge.exe,msiexec.exe,msteams.exe,python-3.11.1-amd64.exe
Acrobat.exe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ApplicationFrameHost.exe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.45454545454545453,0.045454545454545456,0.0,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.0,0.0
CredentialUIBroker.exe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB Browser for SQLite.exe,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.22,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
Docker Desktop.exe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LockApp.exe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Messenger.exe,0.0,0.029850746268656716,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.014925373134328358,0.11940298507462686,0.014925373134328358,0.014925373134328358,0.0,0.0,0.5671641791044776,0.0,0.0,0.014925373134328358,0.14925373134328357,0.029850746268656716,0.0,0.0,0.0
MoNotificationUx.exe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
OneDrive.exe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PickerHost.exe,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ScreenClippingHost.exe,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SearchHost.exe,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.05263157894736842,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.21052631578947367,0.05263157894736842,0.0,0.05263157894736842,0.0
ShellExperienceHost.exe,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
