,ApplicationFrameHost.exe,Code.exe,CodeSetup-stable-97dec172d3256f8ca4bfb2143f3f76b503ca0534.tmp,DB Browser for SQLite.exe,GitHub.UI.exe,GitHubDesktop.exe,GoogleDriveFS.exe,IDMan.exe,S0,SearchApp.exe,ShellExperienceHost.exe,SnippingTool.exe,StartMenuExperienceHost.exe,TeamViewer.exe,Unable To Open Process,Update.exe,VsDebugConsole.exe,Zoom.exe,chrome.exe,devenv.exe,explorer.exe,mintty.exe,msedge.exe,mshta.exe,rstudio.exe,rundll32.exe,s0
ApplicationFrameHost.exe,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0967741935483871,0.03225806451612903,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.22580645161290322,0.03225806451612903,0.1935483870967742,0.0,0.03225806451612903,0.0,0.0,0.0,0.0
Code.exe,0.0033783783783783786,0.0,0.006756756756756757,0.0,0.010135135135135136,0.02027027027027027,0.0,0.0,0,0.006756756756756757,0.016891891891891893,0.08445945945945946,0.0,0.0,0.0,0.0,0.030405405405405407,0.0033783783783783786,0.7668918918918919,0.0033783783783783786,0.033783783783783786,0.0,0.0,0.0,0.010135135135135136,0.0033783783783783786,0.0
CodeSetup-stable-97dec172d3256f8ca4bfb2143f3f76b503ca0534.tmp,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB Browser for SQLite.exe,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0,0.0,0.011363636363636364,0.13636363636363635,0.0,0.0,0.0,0.0,0.011363636363636364,0.045454545454545456,0.3522727272727273,0.022727272727272728,0.29545454545454547,0.0,0.0,0.0,0.0,0.0,0.0
GitHub.UI.exe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GitHubDesktop.exe,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
GoogleDriveFS.exe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDMan.exe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SearchApp.exe,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.4,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
