,ApplicationFrameHost.exe,Code.exe,CodeSetup-stable-97dec172d3256f8ca4bfb2143f3f76b503ca0534.tmp,DB Browser for SQLite.exe,GitHub.UI.exe,GitHubDesktop.exe,GoogleDriveFS.exe,IDMan.exe,Installer.exe,OpenWith.exe,S0,SearchApp.exe,ShellExperienceHost.exe,SnippingTool.exe,StartMenuExperienceHost.exe,TeamViewer.exe,Unable To Open Process,Update.exe,VsDebugConsole.exe,Zoom.exe,chrome.exe,devenv.exe,explorer.exe,mintty.exe,msedge.exe,rstudio.exe
ApplicationFrameHost.exe,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.12903225806451613,0.03225806451612903,0.0,0.0,0.0,0.25806451612903225,0.0,0.0,0.0,0.2903225806451613,0.03225806451612903,0.16129032258064516,0.0,0.03225806451612903,0.0
Code.exe,0.0033783783783783786,0.0,0.006756756756756757,0.0,0.0033783783783783786,0.033783783783783786,0.0,0.0,0.0,0.0,0,0.006756756756756757,0.02027027027027027,0.08445945945945946,0.0,0.0,0.0,0.0,0.033783783783783786,0.0033783783783783786,0.7331081081081081,0.010135135135135136,0.05067567567567568,0.0,0.0,0.006756756756756757
CodeSetup-stable-97dec172d3256f8ca4bfb2143f3f76b503ca0534.tmp,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB Browser for SQLite.exe,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.010869565217391304,0.11956521739130435,0.0,0.0,0.0,0.0,0.010869565217391304,0.043478260869565216,0.34782608695652173,0.021739130434782608,0.31521739130434784,0.0,0.0,0.0
GitHub.UI.exe,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
GitHubDesktop.exe,0.0,0.6,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.06666666666666667,0.0,0.0,0.0
GoogleDriveFS.exe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IDMan.exe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Installer.exe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
OpenWith.exe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
