,Acrobat.exe,ApplicationFrameHost.exe,CredentialUIBroker.exe,DB Browser for SQLite.exe,Docker Desktop.exe,EXCEL.EXE,Git-2.39.1-64-bit.tmp,Installer.exe,LockApp.exe,Messenger.exe,MoNotificationUx.exe,Notepad.exe,OneDrive.exe,ScreenClippingHost.exe,SearchHost.exe,ShellExperienceHost.exe,Spotify.exe,Teams.exe,Unable To Open Process,VsDebugConsole.exe,Zoom.exe,chrome.exe,cmd.exe,devenv.exe,explorer.exe,msedge.exe,msiexec.exe,msteams.exe,python-3.11.1-amd64.exe,rundll32.exe,s0,winzip64.exe
Acrobat.exe,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ApplicationFrameHost.exe,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.02702702702702703,0.05405405405405406,0.0,0.02702702702702703,0.02702702702702703,0.43243243243243246,0.02702702702702703,0.02702702702702703,0.21621621621621623,0.05405405405405406,0.02702702702702703,0.0,0.0,0.0,0.0,0.0
CredentialUIBroker.exe,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB Browser for SQLite.exe,0.0,0.0,0.0,0.021052631578947368,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.010526315789473684,0.0,0.010526315789473684,0.0,0.0,0.010526315789473684,0.010526315789473684,0.15789473684210525,0.06315789473684211,0.0,0.7052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Docker Desktop.exe,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXCEL.EXE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Git-2.39.1-64-bit.tmp,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Installer.exe,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LockApp.exe,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Messenger.exe,0.0,0.018518518518518517,0.0,0.018518518518518517,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.018518518518518517,0.12037037037037036,0.0,0.018518518518518517,0.009259259259259259,0.5555555555555556,0.0,0.009259259259259259,0.19444444444444445,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0
MoNotificationUx.exe,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Notepad.exe,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OneDrive.exe,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ScreenClippingHost.exe,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SearchHost.exe,0.0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.03571428571428571,0.0,0.10714285714285714,0.17857142857142858,0.03571428571428571,0.17857142857142858,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
ShellExperienceHost.exe,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotify.exe,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teams.exe,0.0,0.015384615384615385,0.0,0.015384615384615385,0.015384615384615385,0.0,0,0,0.0,0.18461538461538463,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.0,0.0,0.03076923076923077,0.03076923076923077,0.26153846153846155,0.03076923076923077,0.13846153846153847,0.2153846153846154,0.015384615384615385,0.0,0.0,0.0,0.015384615384615385,0.0,0.0
Unable To Open Process,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.1891891891891892,0.02702702702702703,0.0,0.6486486486486487,0.05405405405405406,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VsDebugConsole.exe,0.0,0.010309278350515464,0.0,0.010309278350515464,0.0,0.0,0,0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.05154639175257732,0.0,0.0,0.041237113402061855,0.010309278350515464,0.18556701030927836,0.010309278350515464,0.16494845360824742,0.0,0.12371134020618557,0.13402061855670103,0.010309278350515464,0.0,0.0,0.0,0.0,0.23711340206185566,0.0
Zoom.exe,0.0,0.007407407407407408,0.0,0.007407407407407408,0.0,0.0,0,0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,0.014814814814814815,0.22962962962962963,0.6370370370370371,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrome.exe,0.0,0.03875968992248062,0.00516795865633075,0.031007751937984496,0.002583979328165375,0.0,0,0,0.002583979328165375,0.17054263565891473,0.002583979328165375,0.0,0.0,0.0,0.03359173126614987,0.0103359173126615,0.007751937984496124,0.046511627906976744,0.05426356589147287,0.046511627906976744,0.19896640826873385,0.007751937984496124,0.082687338501292,0.03359173126614987,0.19896640826873385,0.015503875968992248,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375
cmd.exe,0.0,0.0,0.0,0.1016949152542373,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.01694915254237288,0.0,0.559322033898305,0.0847457627118644,0.01694915254237288,0.2033898305084746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
