,MEASUREMENT_TIME,ID_INPUT,VALUE,PRIVATE_DATA,Time_Used
0,2023-01-19 20:06:06.546,4,s0,0,0.0
1,2023-01-19 20:06:06.546,4,VsDebugConsole.exe,0,7.042
2,2023-01-19 20:06:13.588,4,devenv.exe,0,1.013
3,2023-01-19 20:06:14.601,4,VsDebugConsole.exe,0,2.012
4,2023-01-19 20:06:16.613,4,chrome.exe,0,1.005
5,2023-01-19 20:06:17.618,4,VsDebugConsole.exe,0,1.006
6,2023-01-19 20:06:18.624,4,Messenger.exe,0,3.019
7,2023-01-19 20:06:21.643,4,VsDebugConsole.exe,0,1.007
8,2023-01-19 20:06:22.650,4,explorer.exe,0,1.005
9,2023-01-19 20:06:23.655,4,VsDebugConsole.exe,0,2.012
10,2023-01-19 20:06:25.667,4,Teams.exe,0,8.059
11,2023-01-19 20:06:33.726,4,VsDebugConsole.exe,0,2.023
12,2023-01-19 20:06:35.749,4,chrome.exe,0,37.291
13,2023-01-19 20:07:13.040,4,SearchHost.exe,0,6.175
14,2023-01-19 20:07:19.215,4,Unable To Open Process,0,5.037
15,2023-01-19 20:07:24.252,4,chrome.exe,0,1.01
16,2023-01-19 20:07:25.262,4,Unable To Open Process,0,16.1
17,2023-01-19 20:07:41.362,4,chrome.exe,0,67.482
18,2023-01-19 20:08:48.844,4,VsDebugConsole.exe,0,0.0
19,2023-01-19 20:17:38.090,4,s0,0,0.0
20,2023-01-19 20:17:38.090,4,VsDebugConsole.exe,0,3.019
21,2023-01-19 20:17:41.109,4,devenv.exe,0,2.006
22,2023-01-19 20:17:43.115,4,VsDebugConsole.exe,0,1.007
23,2023-01-19 20:17:44.122,4,Unable To Open Process,0,2.016
24,2023-01-19 20:17:46.138,4,VsDebugConsole.exe,0,3.015
25,2023-01-19 20:17:49.153,4,SearchHost.exe,0,2.013
26,2023-01-19 20:17:51.166,4,explorer.exe,0,2.118
27,2023-01-19 20:17:53.284,4,Unable To Open Process,0,5.028
28,2023-01-19 20:17:58.312,4,explorer.exe,0,5.035
29,2023-01-19 20:18:03.347,4,chrome.exe,0,18.124
30,2023-01-19 20:18:21.471,4,python-3.11.1-amd64.exe,0,7.052
31,2023-01-19 20:18:28.523,4,Unable To Open Process,0,42.212
32,2023-01-19 20:19:10.735,4,chrome.exe,0,50.339
33,2023-01-19 20:20:01.074,4,Unable To Open Process,0,20.148
34,2023-01-19 20:20:21.222,4,chrome.exe,0,11.09
35,2023-01-19 20:20:32.312,4,Unable To Open Process,0,25.183
36,2023-01-19 20:20:57.495,4,chrome.exe,0,56.497
37,2023-01-19 20:21:53.992,4,Unable To Open Process,0,3.027
38,2023-01-19 20:21:57.019,4,chrome.exe,0,2.014
39,2023-01-19 20:21:59.033,4,Unable To Open Process,0,6.056
40,2023-01-19 20:22:05.089,4,chrome.exe,0,11.086
41,2023-01-19 20:22:16.175,4,Unable To Open Process,0,78.57
42,2023-01-19 20:23:34.745,4,SearchHost.exe,0,11.084
43,2023-01-19 20:23:45.829,4,Unable To Open Process,0,42.309
44,2023-01-19 20:24:28.138,4,chrome.exe,0,3.038
45,2023-01-19 20:24:31.176,4,Unable To Open Process,0,22.153
46,2023-01-19 20:24:53.329,4,Unable To Open Process,0,20.118
47,2023-01-19 20:25:13.447,4,chrome.exe,0,46.364
48,2023-01-19 20:25:59.811,4,Unable To Open Process,0,14.109
49,2023-01-19 20:26:13.920,4,chrome.exe,0,7.051
50,2023-01-19 20:26:20.971,4,Unable To Open Process,0,95.637
51,2023-01-19 20:27:56.608,4,Unable To Open Process,0,16.121
52,2023-01-19 20:28:12.729,4,Unable To Open Process,0,2.018
53,2023-01-19 20:28:14.747,4,Unable To Open Process,0,1.002
54,2023-01-19 20:28:15.749,4,Unable To Open Process,0,9.064
55,2023-01-19 20:28:24.813,4,chrome.exe,0,26.214
56,2023-01-19 20:28:51.027,4,Unable To Open Process,0,23.156
57,2023-01-19 20:29:14.183,4,Unable To Open Process,0,5.029
58,2023-01-19 20:29:19.212,4,chrome.exe,0,16.119
59,2023-01-19 20:29:35.331,4,VsDebugConsole.exe,0,4.018
60,2023-01-19 20:29:39.349,4,chrome.exe,0,3.018
61,2023-01-19 20:29:42.367,4,Messenger.exe,0,204.13
62,2023-01-19 20:33:06.497,4,chrome.exe,0,52.388
63,2023-01-19 20:33:58.885,4,Unable To Open Process,0,14.095
64,2023-01-19 20:34:12.980,4,chrome.exe,0,2.015
65,2023-01-19 20:34:14.995,4,SearchHost.exe,0,4.023
66,2023-01-19 20:34:19.018,4,Unable To Open Process,0,4.14
67,2023-01-19 20:34:23.158,4,ShellExperienceHost.exe,0,1.005
68,2023-01-19 20:34:24.163,4,Unable To Open Process,0,29.19
69,2023-01-19 20:34:53.353,4,chrome.exe,0,46.366
70,2023-01-19 20:35:39.719,4,Git-2.39.1-64-bit.tmp,0,1.011
71,2023-01-19 20:35:40.730,4,Unable To Open Process,0,216.334
72,2023-01-19 20:39:17.064,4,chrome.exe,0,6.058
73,2023-01-19 20:39:23.122,4,Unable To Open Process,0,4.016
74,2023-01-19 20:39:27.138,4,chrome.exe,0,24.19
75,2023-01-19 20:39:51.328,4,Unable To Open Process,0,1.008
76,2023-01-19 20:39:52.336,4,chrome.exe,0,2.033
77,2023-01-19 20:39:54.369,4,explorer.exe,0,1.006
78,2023-01-19 20:39:55.375,4,SearchHost.exe,0,6.042
79,2023-01-19 20:40:01.417,4,Unable To Open Process,0,3.022
80,2023-01-19 20:40:04.439,4,chrome.exe,0,1.133
81,2023-01-19 20:40:05.572,4,Unable To Open Process,0,36.329
82,2023-01-19 20:40:41.901,4,chrome.exe,0,9.076
83,2023-01-19 20:40:50.977,4,Unable To Open Process,0,26.155
84,2023-01-19 20:41:17.132,4,chrome.exe,0,46.379
